file,type,line,frame
     |                                       ^ Magic Number
  71 |
  72 |     window.addEventListener(
  73 |       ""single-spa:before-routing-event"","
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-routing-start.spec.js,Magic Number,"{'line': 80, 'column': 38, 'index': 2282}","  78 |
  79 |     const profilesAfter = getProfilerEventsByKind(""navigationCanceled"");
> 80 |     expect(profilesAfter.length).toBe(1);
     |                                      ^ Magic Number
  81 |
  82 |     window.removeEventListener(
  83 |       ""single-spa:before-routing-event"","
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-routing-no-start.spec.js,Magic Number,"{'line': 28, 'column': 39, 'index': 694}","  26 |   it(""fires successful loadApp profiler events"", async () => {
  27 |     const profilesBefore = getProfilerEventsByKind(""loadApps"");
> 28 |     expect(profilesBefore.length).toBe(0);
     |                                       ^ Magic Number
  29 |
  30 |     singleSpa.registerApplication({
  31 |       name: ""loadApp profiler success"","
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-routing-no-start.spec.js,Magic Number,"{'line': 39, 'column': 49, 'index': 985}","  37 |
  38 |     const profilesAfter = getProfilerEventsByKind(""loadApps"");
> 39 |     expect(profilesAfter.length).toBeGreaterThan(0);
     |                                                 ^ Magic Number
  40 |     expect(profilesAfter[0].operationSucceeded).toBe(true);
  41 |   });
  42 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-basic.spec.js,Magic Number,"{'line': 265, 'column': 41, 'index': 8452}","  263 |     it(""captures successful bootstrap events"", async () => {
  264 |       const profilesBefore = getProfilerEventsByKind(""bootstrap"", ""parcel"");
> 265 |       expect(profilesBefore.length).toBe(0);
      |                                         ^ Magic Number
  266 |
  267 |       const parcel = singleSpa.mountRootParcel(parcelConfig, props);
  268 |       await parcel.bootstrapPromise;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-basic.spec.js,Magic Number,"{'line': 271, 'column': 40, 'index': 8680}","  269 |
  270 |       const profilesAfter = getProfilerEventsByKind(""bootstrap"", ""parcel"");
> 271 |       expect(profilesAfter.length).toBe(1);
      |                                        ^ Magic Number
  272 |       expect(profilesAfter[0].operationSucceeded).toBe(true);
  273 |     });
  274 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-basic.spec.js,Magic Number,"{'line': 277, 'column': 41, 'index': 8926}","  275 |     it(""captures successful mount events"", async () => {
