file,type,line,frame
> 170 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledTimes(1);
      |    ^ Duplicate Assert
  171 |   });
  172 |
  173 |   it('should not fire a scroll if the value has not changed since the previous frame', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 198, 'column': 4, 'index': 7040}","  196 |     // release the frame
  197 |     requestAnimationFrame.step();
> 198 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledTimes(1);
      |    ^ Duplicate Assert
  199 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledWith(
  200 |       preset.home.descriptor.id,
  201 |       { x: 500, y: 1000 },"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 199, 'column': 4, 'index': 7108}","  197 |     requestAnimationFrame.step();
  198 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledTimes(1);
> 199 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledWith(
      |    ^ Duplicate Assert
  200 |       preset.home.descriptor.id,
  201 |       { x: 500, y: 1000 },
  202 |     );"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 214, 'column': 4, 'index': 7557}","  212 |     // release the frame
  213 |     requestAnimationFrame.step();
> 214 |     expect(marshal.updateDroppableScroll).not.toHaveBeenCalled();
      |    ^ Duplicate Assert
  215 |   });
  216 |
  217 |   it('should not publish a scroll update after requested not to update while an animation frame is occurring', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 240, 'column': 4, 'index': 8576}","  238 |     scroll(container, { x: 500, y: 1000 });
  239 |     requestAnimationFrame.step();
> 240 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledTimes(1);
      |    ^ Duplicate Assert
  241 |     // $ExpectError
  242 |     marshal.updateDroppableScroll.mockReset();
  243 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 253, 'column': 4, 'index': 8958}","  251 |     // flushing any frames
  252 |     requestAnimationFrame.flush();
> 253 |     expect(marshal.updateDroppableScroll).not.toHaveBeenCalled();
      |    ^ Duplicate Assert
  254 |   });
  255 | });
  256 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 279, 'column': 2, 'index': 9929}","  277 |   // first event
  278 |   scroll(container, { x: 500, y: 1000 });
> 279 |   expect(marshal.updateDroppableScroll).toHaveBeenCalledTimes(1);
      |  ^ Duplicate Assert
  280 |   // $ExpectError
  281 |   marshal.updateDroppableScroll.mockReset();
  282 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 287, 'column': 2, 'index': 10171}","  285 |   // scroll event after no longer watching
  286 |   scroll(container, { x: 190, y: 400 });
> 287 |   expect(marshal.updateDroppableScroll).not.toHaveBeenCalled();
      |  ^ Duplicate Assert
  288 | });
  289 |
  290 | it('should stop watching for scroll events when the component is unmounted', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 373, 'column': 2, 'index': 13178}","  371 |     passive: true,
  372 |   };
> 373 |   expect(container.addEventListener).toHaveBeenCalledWith(
      |  ^ Duplicate Assert
  374 |     'scroll',
  375 |     expect.any(Function),
  376 |     expectedOptions,"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 378, 'column': 2, 'index': 13303}","  376 |     expectedOptions,
  377 |   );
> 378 |   expect(container.removeEventListener).not.toHaveBeenCalled();
      |  ^ Duplicate Assert
  379 |   container.addEventListener.mockReset();
  380 |
  381 |   // unwatching scroll"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 385, 'column': 2, 'index': 13476}","  383 |
  384 |   // assertion
> 385 |   expect(container.removeEventListener).toHaveBeenCalledWith(
      |  ^ Duplicate Assert
  386 |     'scroll',
  387 |     expect.any(Function),
  388 |     expectedOptions,"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 390, 'column': 2, 'index': 13604}","  388 |     expectedOptions,
  389 |   );
> 390 |   expect(container.removeEventListener).toHaveBeenCalledTimes(1);
      |  ^ Duplicate Assert
  391 |   expect(container.addEventListener).not.toHaveBeenCalled();
  392 |
  393 |   // cleanup"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 391, 'column': 2, 'index': 13670}","  389 |   );
  390 |   expect(container.removeEventListener).toHaveBeenCalledTimes(1);
> 391 |   expect(container.addEventListener).not.toHaveBeenCalled();
      |  ^ Duplicate Assert
  392 |
  393 |   // cleanup
  394 |   container.addEventListener.mockRestore();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Redundant Print,"{'line': 316, 'column': 9, 'index': 11282}","  314 |   expect(marshal.updateDroppableScroll).not.toHaveBeenCalled();
  315 |   // also logs a warning
> 316 |   expect(console.warn).toHaveBeenCalled();
      |         ^ Redundant Print
  317 |
  318 |   // cleanup
  319 |   // $ExpectError"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Redundant Print,"{'line': 320, 'column': 2, 'index': 11350}","  318 |   // cleanup
  319 |   // $ExpectError
> 320 |   console.warn.mockRestore();
      |  ^ Redundant Print
  321 | });
  322 |
  323 | it('should throw an error if asked to watch a scroll when already listening for scroll changes', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/registration.spec.js,Duplicate Assert,"{'line': 28, 'column': 2, 'index': 900}","  26 |   );
  27 |
