file,type,line,method,source
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':76,'endLine':76}","it(""should return true for function types"", () => {
		expect(utils.isFunction(function () {})).toBe(true);
		expect(utils.isFunction(() => {})).toBe(true);
		expect(utils.isFunction(async () => {})).toBe(true);
		expect(utils.isFunction(class Dummy {})).toBe(true);

		expect(utils.isFunction({})).toBe(false);
		expect(utils.isFunction([])).toBe(false);
		expect(utils.isFunction(null)).toBe(false);
		expect(utils.isFunction(1)).toBe(false);
		expect(utils.isFunction(""string"")).toBe(false);
		expect(utils.isFunction(NaN)).toBe(false);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':175,'endLine':175}","it(""should check the param"", () => {
		expect(utils.isPromise()).toBe(false);
		expect(utils.isPromise({})).toBe(false);
		expect(utils.isPromise(new Promise(() => {}))).toBe(true);
		expect(utils.isPromise(Promise.resolve())).toBe(true);
		//expect(utils.isPromise(Promise.reject())).toBe(true); // node gives warning
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':799,'endLine':799}","it(""should detect the arguments of the Function"", () => {
		expect(utils.functionArguments(() => {})).toEqual([]);
		expect(utils.functionArguments(function () {})).toEqual([]);

		expect(utils.functionArguments(alpha => {})).toEqual([""alpha""]);
		expect(utils.functionArguments(function (alpha) {})).toEqual([""alpha""]);

		expect(utils.functionArguments((alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);

		expect(utils.functionArguments(async (alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(async function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':800,'endLine':800}","it(""should detect the arguments of the Function"", () => {
		expect(utils.functionArguments(() => {})).toEqual([]);
		expect(utils.functionArguments(function () {})).toEqual([]);

		expect(utils.functionArguments(alpha => {})).toEqual([""alpha""]);
		expect(utils.functionArguments(function (alpha) {})).toEqual([""alpha""]);

		expect(utils.functionArguments((alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);

		expect(utils.functionArguments(async (alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(async function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':802,'endLine':802}","it(""should detect the arguments of the Function"", () => {
		expect(utils.functionArguments(() => {})).toEqual([]);
		expect(utils.functionArguments(function () {})).toEqual([]);

		expect(utils.functionArguments(alpha => {})).toEqual([""alpha""]);
		expect(utils.functionArguments(function (alpha) {})).toEqual([""alpha""]);

		expect(utils.functionArguments((alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);

		expect(utils.functionArguments(async (alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(async function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':803,'endLine':803}","it(""should detect the arguments of the Function"", () => {
		expect(utils.functionArguments(() => {})).toEqual([]);
		expect(utils.functionArguments(function () {})).toEqual([]);

		expect(utils.functionArguments(alpha => {})).toEqual([""alpha""]);
		expect(utils.functionArguments(function (alpha) {})).toEqual([""alpha""]);

		expect(utils.functionArguments((alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);

		expect(utils.functionArguments(async (alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(async function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':805,'endLine':805}","it(""should detect the arguments of the Function"", () => {
		expect(utils.functionArguments(() => {})).toEqual([]);
		expect(utils.functionArguments(function () {})).toEqual([]);

		expect(utils.functionArguments(alpha => {})).toEqual([""alpha""]);
		expect(utils.functionArguments(function (alpha) {})).toEqual([""alpha""]);

		expect(utils.functionArguments((alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);

		expect(utils.functionArguments(async (alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(async function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':806,'endLine':806}","it(""should detect the arguments of the Function"", () => {
		expect(utils.functionArguments(() => {})).toEqual([]);
		expect(utils.functionArguments(function () {})).toEqual([]);

		expect(utils.functionArguments(alpha => {})).toEqual([""alpha""]);
		expect(utils.functionArguments(function (alpha) {})).toEqual([""alpha""]);

		expect(utils.functionArguments((alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);

		expect(utils.functionArguments(async (alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(async function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':808,'endLine':808}","it(""should detect the arguments of the Function"", () => {
		expect(utils.functionArguments(() => {})).toEqual([]);
		expect(utils.functionArguments(function () {})).toEqual([]);

		expect(utils.functionArguments(alpha => {})).toEqual([""alpha""]);
		expect(utils.functionArguments(function (alpha) {})).toEqual([""alpha""]);

		expect(utils.functionArguments((alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);

		expect(utils.functionArguments(async (alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(async function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':809,'endLine':809}","it(""should detect the arguments of the Function"", () => {
		expect(utils.functionArguments(() => {})).toEqual([]);
		expect(utils.functionArguments(function () {})).toEqual([]);

		expect(utils.functionArguments(alpha => {})).toEqual([""alpha""]);
		expect(utils.functionArguments(function (alpha) {})).toEqual([""alpha""]);

		expect(utils.functionArguments((alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);

		expect(utils.functionArguments(async (alpha, beta) => {})).toEqual([""alpha"", ""beta""]);
		expect(utils.functionArguments(async function (alpha, beta) {})).toEqual([""alpha"", ""beta""]);
	})",snuts
